,Date,AL,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK,weeknumber,year
648,1991-06-09,16.106682857142914,9.8054311309524,14.58354184523813,10.752233452381006,17.204216190476245,7.677115119047642,23.132330119047708,11.957779702381004,11.384865357142871,10.011378571428565,11.21488440476196,19.093428809523857,17.712328392857216,9.872458630952394,13.140468273809518,15.801031250000051,16.51898440476191,10.661769523809596,2.4841245238094984,15.54104005952388,,11.8881936309524,10.349763154761945,11.438247202380978,13.337930297619096,16.5158173809524,,11.097501309523807,6.356257142857203,12.855575000000044,17.1923851785715,15.866932797619086,16.889354107142935,8.610009523809538,12.947904583333354,13.251761785714336,17.071215416666746,9.523749047619106,23,1991
649,1991-06-16,19.49873875000003,14.051038869047659,18.897440178571458,12.877215833333366,20.203391428571422,11.844818035714297,25.12252529761912,15.876439880952375,14.153298214285769,11.835874226190526,13.0033467261905,21.557241785714325,20.796579702380996,10.750384702380984,14.950607261904793,20.05455494047618,19.89099916666669,11.360643928571449,3.9415035714285978,19.064771547619102,,13.557179285714255,12.727213214285712,12.897714940476192,17.67534482142861,20.038101845238145,,13.042556488095272,8.714479464285716,15.470351369047648,20.99866523809527,19.32168904761909,20.681719226190523,9.834017023809565,17.717815119047657,16.379031428571523,18.142670119047636,11.014102857142916,24,1991
650,1991-06-23,20.172721904762,12.462595297619089,18.276103154761927,12.780594523809611,20.74014404761914,9.122308333333422,27.226628511904835,14.02226464285718,13.620304940476217,12.315657023809536,14.803049285714337,23.282714821428556,19.437378273809543,13.239761130952445,14.399549107142889,19.491232023809573,19.964302261904777,11.960718452380945,8.949628869047672,17.972629642857157,,16.29076494047621,12.395003809523871,15.692660654761937,17.47866946428576,21.210401726190526,,13.189549702380987,9.497753809523829,15.739985297619114,19.72301934523807,20.186527678571395,20.873323273809604,11.278689226190465,16.874695357142855,16.292474226190507,22.38258357142854,11.271085892857172,25,1991
651,1991-06-30,20.537917619047676,13.592633869047631,18.093217857142918,14.584060416666716,20.554513988095266,11.663216904761953,26.83151601190474,15.036207023809538,14.700278392857172,13.64698785714296,15.946509166666715,23.382331309523863,22.545169702380974,14.66058738095245,16.682475059523824,20.35445041666668,19.986379702380987,13.525887321428627,9.828888095238142,20.082636071428624,,16.181995297619096,14.530725357142899,16.343796250000025,17.16936232142865,20.669530535714387,,14.325607083333352,10.38574523809524,15.946489583333289,23.86056797619051,18.543185238095248,19.540912916666684,11.962009702380954,18.224747380952408,16.292752321428623,21.103450892857154,13.2348761904762,26,1991
652,1991-07-07,16.83476482142862,17.362774642857175,17.219911904761886,20.80098345238099,18.02353601190481,16.562516428571428,24.67296184523815,19.178894404761934,21.092379940476178,19.387335952380965,17.626662916666703,19.108301309523824,19.57202636904759,15.728002202380992,19.602270476190483,21.02415130952386,22.16706976190477,16.55553357142861,13.679417023809549,21.34058089285719,,18.58921654761906,22.06857892857147,17.99794577380959,14.980905000000064,16.654983928571482,,21.19980619047618,14.291531488095245,19.383126607142913,19.088491964285765,19.073546488095246,17.93021446428577,16.460787440476224,20.70160892857143,19.37269470238101,21.945718214285762,16.61608851190482,27,1991
653,1991-07-14,22.708049702380947,18.64620666666667,22.447051369047642,19.093127619047664,22.587310714285763,16.474264166666728,27.553417023809516,21.414086369047652,20.927556904761957,17.874682142857182,18.257885119047614,23.694347559523806,25.062660178571434,15.708333988095262,20.529682023809585,24.68549339285721,25.56297898809521,14.697964583333317,10.65855833333336,23.020481250000046,,19.396853154761914,20.19639202380955,18.508178333333376,20.589771011904816,23.157698095238175,,19.215708333333396,13.48616440476195,20.99239458333335,25.364276904761937,22.365145714285745,23.936904047619123,16.272697619047676,22.393706130952467,22.003037976190456,20.7428625,15.44465416666668,28,1991
654,1991-07-21,21.7910755357143,16.03412755952388,19.502177619047586,15.331984940476218,22.464437619047658,15.455233988095245,26.648094583333375,17.38684773809524,16.60703440476192,15.402133035714314,15.771682559523867,23.753861666666694,25.52914630952381,15.504165714285762,19.130123571428612,21.83881547619052,22.066796428571422,14.325706130952426,9.079350952380992,22.19511559523812,,16.016879107142927,15.583667440476177,15.910737380952412,18.90070452380951,21.783914166666648,,15.856061190476225,12.518766190476242,17.041680952381,27.418915119047654,21.332570000000032,21.409030059523786,14.338573452381013,19.95955363095237,18.15631148809524,23.024846130952426,14.50586583333336,29,1991
655,1991-07-28,21.08145982142861,14.054508273809574,18.514755654761927,17.03513345238099,21.228911071428627,13.080479345238132,28.194875059523895,16.487398630952384,16.986810059523805,16.283877678571457,15.992732857142926,23.67182125000005,23.505541190476208,14.009005297619069,18.87026107142856,20.6026969047619,20.419516071428575,15.574756547619074,8.642902916666685,21.719626607142914,,16.604112083333348,17.06689880952382,16.176275714285737,17.716886071428576,21.464791845238153,,17.58022136904765,13.12785244047626,16.969798273809545,22.91601363095242,19.74793416666671,20.261152321428597,14.729075357142904,18.076359107142878,17.13244500000002,23.749857261904822,16.081504880952423,30,1991
656,1991-08-04,18.737718750000056,15.340370416666701,17.90244226190481,19.266494761904767,20.1007791071429,13.93425476190481,27.063176369047653,18.526365297619122,19.348280595238123,19.504575952381003,20.563819642857197,22.54459345238098,22.46188678571434,17.85393535714286,18.955489642857174,20.274886190476252,20.474177678571436,16.52243375000006,11.145580297619063,20.93502523809525,,20.8872169642857,19.468331904761953,20.54210071428571,16.080046190476196,19.569448690476236,,19.718610892857157,15.891717976190478,20.167988571428566,21.980681964285793,19.077635238095297,19.057874166666693,18.261807142857208,19.204501190476208,18.26888279761903,24.640470416666687,17.08842047619055,31,1991
657,1991-08-11,21.668917202380953,18.70326309523813,21.060180952381018,19.539952738095224,21.873256547619064,16.84336363095241,27.163798571428572,20.59393071428576,20.744841547619046,17.944346726190474,18.61488994047619,23.545035892857186,23.233731904761953,15.167416428571471,20.448759226190475,23.439023690476233,23.694574880952416,15.512425297619075,8.57067613095245,23.047130535714302,,20.36872136904759,20.44999255952382,19.25610791666668,19.484804880952424,21.442515000000014,,19.55763178571425,12.425191845238146,21.3482279166667,24.681754107142865,21.675422678571465,22.033747857142885,15.181785238095244,22.112311607142885,20.939124642857223,24.257185416666744,15.749114821428577,32,1991
